highest,episode,time
1,17,00:01:08
2,37,00:03:48
3,40,00:03:59
4,46,00:04:25
5,51,00:04:55
6,57,00:05:52
7,66,00:07:13
8,72,00:08:04
9,88,00:09:51
10,97,00:11:12
11,105,00:11:57
12,117,00:13:31
13,121,00:14:03
14,125,00:14:19
15,133,00:15:38
16,134,00:15:40
17,141,00:16:38
18,143,00:16:51
19,145,00:17:06
20,150,00:17:31
21,151,00:17:33
22,152,00:17:36
23,154,00:17:50
24,164,00:19:22
25,166,00:19:43
26,168,00:19:52
27,169,00:19:55
28,171,00:20:02
29,173,00:20:23
30,174,00:20:36
31,176,00:20:48
32,181,00:21:27
33,182,00:21:31
34,184,00:21:46
35,185,00:21:49
36,186,00:21:57
37,188,00:21:58
38,189,00:22:01
39,190,00:22:02
40,191,00:22:03
41,192,00:22:15
42,193,00:22:17
43,194,00:22:26
44,195,00:22:35
45,196,00:22:42
46,197,00:22:44
47,198,00:22:47
48,199,00:22:47
49,200,00:22:50
50,201,00:22:54
51,203,00:23:10
52,204,00:23:31
53,205,00:23:31
54,206,00:23:32
55,208,00:23:34
56,210,00:23:37
57,213,00:24:09
58,216,00:24:18
59,217,00:24:22
60,218,00:24:24
61,220,00:24:56
62,225,00:25:10
63,227,00:25:18
64,228,00:25:27
65,230,00:25:38
66,236,00:26:07
67,242,00:26:46
68,243,00:26:47
69,247,00:27:04
70,248,00:27:05
71,249,00:27:09
72,250,00:27:23
73,253,00:27:36
74,254,00:27:38
75,257,00:27:42
76,261,00:28:00
77,263,00:28:06
78,265,00:28:21
79,266,00:28:29
80,268,00:28:31
81,271,00:28:39
82,272,00:28:52
83,275,00:28:57
84,276,00:29:04
85,281,00:29:26
86,297,00:30:36
87,304,00:31:05
88,349,00:33:20
89,370,00:34:54
90,398,00:36:36
91,441,00:38:29
92,446,00:38:36
