highest,episode,time
1,10,00:00:56
2,11,00:01:20
3,30,00:03:24
4,31,00:03:30
5,32,00:03:49
6,39,00:04:47
7,50,00:06:50
8,56,00:07:31
9,59,00:08:11
10,62,00:08:25
11,63,00:08:25
12,68,00:09:15
13,69,00:09:24
14,73,00:09:52
15,77,00:10:14
16,78,00:10:17
17,80,00:10:56
18,81,00:11:07
19,85,00:11:18
20,87,00:11:21
21,88,00:11:33
22,91,00:11:53
23,92,00:11:54
24,93,00:11:55
25,94,00:11:55
26,95,00:11:55
27,97,00:11:59
28,98,00:12:09
29,99,00:12:14
30,100,00:12:15
31,101,00:12:20
32,102,00:12:28
33,103,00:12:37
34,104,00:12:41
35,105,00:12:49
36,106,00:12:49
37,107,00:12:56
38,108,00:13:01
39,109,00:13:03
40,110,00:13:13
41,111,00:13:13
42,112,00:13:19
43,113,00:13:21
44,114,00:13:25
45,115,00:13:26
46,116,00:13:34
47,117,00:13:40
48,118,00:13:44
49,119,00:13:45
50,120,00:13:45
51,121,00:13:56
52,122,00:13:56
53,123,00:13:56
54,124,00:14:03
55,125,00:14:05
56,126,00:14:06
57,127,00:14:07
58,128,00:14:10
59,129,00:14:18
60,130,00:14:23
61,132,00:14:31
62,134,00:14:34
63,135,00:14:40
64,137,00:14:45
65,138,00:14:52
66,139,00:14:53
67,141,00:15:09
68,143,00:15:24
69,144,00:15:29
70,145,00:15:31
71,147,00:15:40
72,148,00:15:41
73,149,00:15:43
74,150,00:15:43
75,153,00:16:09
76,155,00:16:40
77,157,00:16:49
78,165,00:17:28
79,168,00:17:33
80,169,00:17:37
81,175,00:17:53
82,176,00:17:55
83,177,00:18:04
84,329,00:27:59
85,330,00:28:10
86,345,00:28:52
87,389,00:31:45
88,392,00:32:10
89,425,00:33:55
90,435,00:34:41
91,438,00:34:48
