highest,episode,time
1,19,00:00:00
2,42,00:00:47
3,121,00:02:39
4,262,00:05:47
5,292,00:06:19
6,312,00:06:42
7,338,00:07:15
8,343,00:07:22
9,349,00:07:27
10,365,00:07:46
11,369,00:07:50
12,371,00:07:50
13,393,00:08:21
14,397,00:08:25
15,417,00:08:46
16,424,00:08:54
17,433,00:09:01
18,458,00:09:25
19,460,00:09:28
20,469,00:09:38
21,476,00:09:46
22,477,00:09:47
23,480,00:09:52
24,482,00:09:55
25,487,00:09:58
26,491,00:10:05
27,498,00:10:11
28,503,00:10:17
29,504,00:10:17
30,506,00:10:18
31,511,00:10:22
32,512,00:10:24
33,514,00:10:26
34,516,00:10:30
35,525,00:10:41
36,537,00:10:54
37,551,00:11:09
38,553,00:11:12
39,555,00:11:16
40,566,00:11:31
41,568,00:11:31
42,576,00:11:39
43,581,00:11:44
44,583,00:11:46
45,585,00:11:53
46,595,00:12:03
47,597,00:12:03
48,599,00:12:04
49,601,00:12:05
50,602,00:12:05
51,603,00:12:05
52,605,00:12:07
53,609,00:12:11
54,610,00:12:18
55,613,00:12:19
56,616,00:12:25
57,630,00:12:32
58,633,00:12:35
59,635,00:12:36
60,652,00:12:58
61,658,00:13:03
62,659,00:13:05
63,662,00:13:07
64,674,00:13:22
65,684,00:13:33
66,686,00:13:37
67,704,00:13:53
68,705,00:13:54
69,708,00:13:56
70,709,00:13:56
71,710,00:13:57
72,711,00:14:01
73,720,00:14:12
74,730,00:14:22
75,739,00:14:37
76,745,00:14:42
77,746,00:14:43
78,748,00:14:44
79,751,00:14:47
80,756,00:14:56
81,758,00:14:57
82,769,00:15:11
83,770,00:15:11
84,773,00:15:14
85,774,00:15:17
86,776,00:15:19
87,1186,00:22:24
88,1212,00:22:47
89,1487,00:27:41
90,1495,00:27:46
91,1496,00:27:48
92,1513,00:28:06
93,1608,00:29:27
94,1681,00:30:15
95,2089,00:35:20
96,2359,00:38:13
