highest,episode,time
1,73,00:06:05
2,79,00:07:06
3,80,00:07:19
4,90,00:08:32
5,95,00:09:10
6,98,00:09:51
7,105,00:10:54
8,106,00:10:59
9,107,00:11:01
10,108,00:11:02
11,109,00:11:11
12,111,00:11:23
13,112,00:11:25
14,113,00:11:36
15,114,00:11:54
16,115,00:11:54
17,117,00:12:06
18,118,00:12:16
19,121,00:12:28
20,124,00:12:40
21,125,00:12:59
22,127,00:13:02
23,129,00:13:06
24,130,00:13:06
25,131,00:13:19
26,134,00:13:32
27,137,00:13:39
28,139,00:13:42
29,141,00:13:57
30,142,00:14:02
31,143,00:14:02
32,144,00:14:04
33,145,00:14:05
34,146,00:14:09
35,147,00:14:10
36,148,00:14:11
37,149,00:14:16
38,150,00:14:19
39,151,00:14:28
40,152,00:14:36
41,153,00:14:37
42,154,00:14:43
43,156,00:14:48
44,157,00:14:59
45,158,00:15:00
46,159,00:15:09
47,160,00:15:15
48,161,00:15:16
49,162,00:15:16
50,163,00:15:20
51,164,00:15:24
52,167,00:15:35
53,168,00:15:37
54,169,00:15:39
55,170,00:15:43
56,172,00:15:49
57,173,00:15:50
58,174,00:15:51
59,175,00:15:53
60,176,00:16:04
61,177,00:16:10
62,178,00:16:14
63,179,00:16:15
64,180,00:16:16
65,181,00:16:25
66,183,00:16:31
67,184,00:16:35
68,185,00:16:36
69,186,00:16:37
70,187,00:16:38
71,188,00:16:45
72,190,00:17:02
73,191,00:17:03
74,192,00:17:11
75,193,00:17:12
76,195,00:17:17
77,196,00:17:24
78,199,00:17:40
79,202,00:17:59
80,204,00:18:03
81,205,00:18:09
82,208,00:18:27
83,211,00:18:41
84,241,00:20:35
85,243,00:20:36
86,245,00:20:40
87,430,00:30:20
88,490,00:32:38
89,491,00:32:39
90,493,00:32:50
91,540,00:34:33
92,554,00:35:08
93,746,00:41:50
94,761,00:42:30
95,791,00:43:51
