highest,episode,time
1,14,00:00:32
2,15,00:00:33
3,17,00:00:45
4,19,00:00:53
5,20,00:01:00
6,23,00:01:22
7,24,00:01:22
8,26,00:01:44
9,27,00:01:45
10,28,00:01:46
11,29,00:01:48
12,30,00:01:57
13,31,00:02:01
14,32,00:02:03
15,33,00:02:09
16,36,00:02:20
17,38,00:02:26
18,39,00:02:27
19,40,00:02:31
20,42,00:02:49
21,44,00:03:03
22,45,00:03:04
23,47,00:03:09
24,48,00:03:21
25,49,00:03:27
26,50,00:03:28
27,53,00:03:39
28,54,00:03:42
29,55,00:03:46
30,58,00:03:57
31,60,00:04:13
32,63,00:04:22
33,64,00:04:22
34,65,00:04:23
35,66,00:04:28
36,68,00:04:41
37,70,00:04:45
38,71,00:04:52
39,72,00:04:54
40,73,00:04:54
41,74,00:04:59
42,75,00:05:03
43,77,00:05:16
44,78,00:05:24
45,80,00:05:33
46,81,00:05:33
47,82,00:05:35
48,83,00:05:43
49,85,00:05:44
50,86,00:05:49
51,87,00:05:53
52,90,00:06:09
53,91,00:06:17
54,92,00:06:20
55,93,00:06:24
56,96,00:06:39
57,97,00:06:39
58,98,00:06:47
59,100,00:06:53
60,101,00:06:58
61,102,00:07:02
62,103,00:07:04
63,105,00:07:28
64,106,00:07:33
65,107,00:07:36
66,108,00:07:41
67,110,00:07:45
68,111,00:07:46
69,112,00:07:49
70,113,00:07:56
