highest,episode,time
1,157,00:02:01
2,158,00:02:02
3,159,00:02:02
4,179,00:02:23
5,181,00:02:27
6,192,00:02:31
7,194,00:02:35
8,200,00:02:44
9,201,00:02:46
10,202,00:02:46
11,207,00:02:46
12,212,00:02:48
13,214,00:02:49
14,216,00:02:49
15,220,00:02:52
16,221,00:02:52
17,223,00:02:56
18,224,00:02:56
19,226,00:02:57
20,227,00:02:57
21,228,00:02:57
22,229,00:02:59
23,230,00:03:00
24,231,00:03:00
25,233,00:03:01
26,234,00:03:01
27,238,00:03:05
28,241,00:03:06
29,242,00:03:06
30,243,00:03:07
31,246,00:03:11
32,250,00:03:14
33,251,00:03:14
34,253,00:03:15
35,257,00:03:20
36,259,00:03:23
37,266,00:03:29
38,271,00:03:30
39,275,00:03:35
40,276,00:03:36
41,279,00:03:39
42,282,00:03:40
43,286,00:03:44
44,296,00:03:48
45,297,00:03:48
46,307,00:03:51
47,308,00:03:52
48,310,00:03:53
49,312,00:03:54
50,314,00:03:54
51,316,00:03:55
52,327,00:04:01
53,329,00:04:03
54,337,00:04:04
55,339,00:04:06
56,340,00:04:07
57,341,00:04:07
58,357,00:04:13
59,365,00:04:18
60,516,00:05:54
61,518,00:05:55
62,520,00:05:57
63,522,00:05:59
64,525,00:06:02
65,533,00:06:06
66,535,00:06:07
67,536,00:06:07
68,537,00:06:08
69,538,00:06:09
70,539,00:06:10
71,545,00:06:15
72,547,00:06:16
73,550,00:06:18
74,552,00:06:20
75,555,00:06:21
76,560,00:06:25
77,562,00:06:25
78,565,00:06:26
79,567,00:06:29
80,601,00:06:43
81,632,00:07:06
82,634,00:07:08
83,802,00:09:00
84,808,00:09:04
85,826,00:09:16
86,846,00:09:27
87,848,00:09:28
88,854,00:09:32
89,856,00:09:32
90,899,00:09:56
91,1769,00:17:53
92,1836,00:18:28
93,1837,00:18:28
94,1841,00:18:32
95,1997,00:19:46
96,2009,00:19:51
