highest,episode,time
1,121,00:06:08
2,158,00:08:06
3,211,00:11:22
4,315,00:17:26
5,318,00:17:29
6,320,00:17:38
7,323,00:17:41
8,337,00:18:27
9,383,00:20:59
10,395,00:21:41
11,399,00:22:08
12,404,00:22:15
13,409,00:22:36
14,415,00:22:51
15,417,00:23:06
16,420,00:23:12
17,435,00:23:52
18,448,00:24:32
19,486,00:26:51
20,491,00:27:12
21,497,00:27:27
22,516,00:28:46
23,546,00:30:11
24,564,00:31:21
25,566,00:31:22
26,582,00:32:21
27,594,00:33:01
28,598,00:33:15
29,639,00:35:53
30,656,00:36:52
31,700,00:39:21
32,713,00:40:09
33,729,00:41:09
34,732,00:41:13
35,735,00:41:26
36,736,00:41:27
37,737,00:41:27
38,738,00:41:29
39,739,00:41:33
40,741,00:41:39
41,750,00:42:10
42,756,00:42:25
43,761,00:42:38
44,766,00:42:52
45,769,00:43:09
46,774,00:43:24
47,775,00:43:26
48,777,00:43:31
49,802,00:45:04
50,804,00:45:06
51,808,00:45:25
52,813,00:45:41
53,819,00:46:03
54,826,00:46:29
55,832,00:46:39
56,838,00:46:48
57,839,00:47:02
58,849,00:47:31
59,854,00:47:45
60,864,00:48:09
61,870,00:48:37
62,874,00:48:43
63,876,00:48:47
64,877,00:48:47
65,878,00:48:55
66,879,00:48:57
67,880,00:48:57
68,908,00:50:28
69,913,00:50:39
70,917,00:50:57
71,926,00:51:19
72,927,00:51:20
73,928,00:51:21
74,933,00:51:40
75,934,00:51:41
76,935,00:51:46
77,936,00:51:46
78,954,00:52:42
79,958,00:53:03
80,965,00:53:14
81,970,00:53:28
82,974,00:53:43
83,1063,00:57:44
84,1067,00:57:52
85,1078,00:58:20
86,1079,00:58:27
87,1227,01:02:48
88,1233,01:02:55
89,1237,01:02:57
90,1239,01:03:00
91,1241,01:03:08
92,1244,01:03:15
93,1251,01:03:22
94,1258,01:03:36
95,1284,01:04:22
96,1287,01:04:23
97,1302,01:04:55
98,2223,01:28:14
99,3563,01:54:36
