highest,episode,time
1,10,00:00:50
2,11,00:01:15
3,12,00:01:36
4,13,00:01:36
5,14,00:01:39
6,15,00:01:44
7,21,00:02:33
8,22,00:02:37
9,23,00:02:39
10,24,00:02:42
11,25,00:02:43
12,26,00:02:50
13,27,00:03:01
14,28,00:03:07
15,30,00:03:11
16,31,00:03:24
17,32,00:03:25
18,34,00:03:32
19,35,00:03:43
20,36,00:03:44
21,37,00:03:48
22,38,00:03:56
23,39,00:04:06
24,41,00:04:12
25,42,00:04:16
26,45,00:04:21
27,46,00:04:21
28,47,00:04:27
29,48,00:04:30
30,50,00:04:41
31,51,00:04:46
32,52,00:04:48
33,55,00:05:03
34,56,00:05:13
35,57,00:05:22
36,58,00:05:23
37,59,00:05:32
38,61,00:05:44
39,62,00:06:01
40,63,00:06:06
41,64,00:06:08
42,65,00:06:11
43,67,00:06:22
44,68,00:06:22
45,69,00:06:27
46,70,00:06:29
47,71,00:06:58
48,72,00:07:00
49,73,00:07:03
50,74,00:07:03
51,76,00:07:07
52,77,00:07:16
53,79,00:07:20
54,80,00:07:31
55,81,00:07:33
56,83,00:07:41
57,84,00:07:48
58,85,00:08:03
59,86,00:08:04
60,87,00:08:05
61,88,00:08:11
62,89,00:08:15
63,90,00:08:22
64,91,00:08:26
65,93,00:08:36
66,94,00:08:43
67,95,00:08:48
68,96,00:08:49
69,97,00:08:53
70,98,00:08:54
71,99,00:09:00
72,100,00:09:02
73,101,00:09:04
74,103,00:09:13
75,104,00:09:17
76,105,00:09:20
77,106,00:09:29
78,107,00:09:30
79,108,00:09:42
80,110,00:09:50
81,111,00:09:51
82,112,00:09:55
83,113,00:09:59
84,114,00:09:59
85,115,00:10:00
86,116,00:10:03
87,117,00:10:17
