highest,episode,time
1,23,00:00:50
2,59,00:02:45
3,95,00:05:00
4,101,00:05:14
5,119,00:06:11
6,124,00:06:29
7,128,00:06:43
8,148,00:07:59
9,157,00:08:18
10,166,00:08:44
11,170,00:09:02
12,191,00:10:14
13,197,00:10:22
14,214,00:11:20
15,220,00:11:33
16,222,00:11:41
17,226,00:11:44
18,231,00:12:02
19,234,00:12:07
20,236,00:12:14
21,237,00:12:15
22,238,00:12:18
23,243,00:12:36
24,248,00:12:45
25,255,00:13:05
26,260,00:13:16
27,262,00:13:22
28,264,00:13:35
29,265,00:13:40
30,266,00:13:40
31,279,00:14:00
32,285,00:14:17
33,286,00:14:18
34,295,00:14:33
35,297,00:14:35
36,298,00:14:36
37,300,00:14:40
38,301,00:14:41
39,303,00:14:53
40,304,00:14:53
41,308,00:14:59
42,309,00:15:00
43,310,00:15:02
44,311,00:15:02
45,315,00:15:08
46,317,00:15:17
47,319,00:15:20
48,321,00:15:22
49,323,00:15:25
50,324,00:15:27
51,328,00:15:44
52,329,00:15:47
53,340,00:16:05
54,341,00:16:08
55,343,00:16:10
56,349,00:16:28
57,353,00:16:42
58,354,00:16:44
59,355,00:16:44
60,364,00:17:03
61,366,00:17:03
62,372,00:17:08
63,377,00:17:19
64,407,00:17:58
65,411,00:18:01
66,415,00:18:06
67,416,00:18:06
68,422,00:18:12
69,424,00:18:12
70,425,00:18:12
71,442,00:18:48
72,459,00:19:19
73,460,00:19:19
74,530,00:21:10
75,534,00:21:19
76,536,00:21:22
77,600,00:22:39
78,603,00:22:41
79,611,00:22:45
80,615,00:22:47
81,616,00:22:48
82,621,00:23:02
83,623,00:23:07
84,859,00:27:19
85,895,00:28:07
86,904,00:28:14
87,926,00:28:38
88,928,00:28:44
89,929,00:28:45
90,2599,00:50:49
91,4343,01:10:03
92,4344,01:10:04
93,4354,01:10:09
94,5249,01:21:18
95,5727,01:26:57
96,6970,01:41:19
97,6980,01:41:28
