highest,episode,time
1,119,00:01:56
2,121,00:02:01
3,142,00:02:26
4,276,00:05:03
5,287,00:05:14
6,295,00:05:21
7,298,00:05:26
8,300,00:05:29
9,302,00:05:31
10,304,00:05:34
11,314,00:05:38
12,317,00:05:44
13,318,00:05:47
14,333,00:06:02
15,359,00:06:34
16,361,00:06:41
17,367,00:06:45
18,368,00:06:46
19,372,00:06:47
20,382,00:07:00
21,387,00:07:05
22,397,00:07:14
23,416,00:07:36
24,427,00:07:51
25,431,00:07:53
26,445,00:08:13
27,453,00:08:18
28,457,00:08:20
29,468,00:08:37
30,480,00:08:47
31,487,00:08:58
32,493,00:09:00
33,497,00:09:04
34,498,00:09:05
35,504,00:09:09
36,506,00:09:13
37,507,00:09:15
38,511,00:09:22
39,528,00:09:38
40,530,00:09:42
41,531,00:09:42
42,532,00:09:42
43,541,00:09:53
44,546,00:09:57
45,548,00:09:59
46,550,00:10:00
47,559,00:10:11
48,565,00:10:21
49,572,00:10:26
50,580,00:10:36
51,582,00:10:40
52,589,00:10:46
53,594,00:10:48
54,601,00:10:56
55,602,00:10:56
56,603,00:10:56
57,604,00:10:59
58,606,00:11:00
59,608,00:11:03
60,611,00:11:06
61,615,00:11:10
62,618,00:11:11
63,630,00:11:23
64,632,00:11:28
65,639,00:11:35
66,641,00:11:36
67,643,00:11:41
68,644,00:11:42
69,649,00:11:47
70,652,00:11:49
71,653,00:11:49
72,656,00:11:54
73,659,00:11:57
74,664,00:11:59
75,674,00:12:10
76,680,00:12:16
77,686,00:12:24
78,699,00:12:36
79,707,00:12:46
80,711,00:12:53
81,714,00:12:56
82,715,00:12:57
83,718,00:12:58
84,735,00:13:16
85,736,00:13:17
86,746,00:13:24
87,752,00:13:32
88,768,00:13:47
89,771,00:13:47
90,802,00:14:22
91,806,00:14:25
92,816,00:14:37
93,817,00:14:38
94,821,00:14:44
95,834,00:14:59
96,1040,00:17:57
