highest,episode,time
1,46,00:05:31
2,47,00:05:45
3,48,00:05:52
4,49,00:06:03
5,50,00:06:05
6,51,00:06:21
7,53,00:06:44
8,54,00:06:44
9,60,00:07:07
10,73,00:08:57
11,78,00:09:18
12,80,00:09:48
13,86,00:10:12
14,89,00:10:40
15,93,00:10:45
16,94,00:10:59
17,95,00:11:04
18,101,00:11:53
19,108,00:12:40
20,109,00:12:44
21,110,00:12:45
22,111,00:12:47
23,112,00:12:52
24,114,00:13:11
25,115,00:13:11
26,116,00:13:12
27,117,00:13:12
28,118,00:13:13
29,119,00:13:16
30,120,00:13:29
31,121,00:13:30
32,122,00:13:34
33,123,00:13:35
34,124,00:13:48
35,125,00:14:03
36,126,00:14:06
37,127,00:14:11
38,129,00:14:16
39,130,00:14:18
40,131,00:14:20
41,132,00:14:21
42,133,00:14:22
43,134,00:14:34
44,135,00:14:37
45,136,00:14:41
46,137,00:14:55
47,138,00:14:58
48,139,00:15:02
49,141,00:15:03
50,142,00:15:07
51,143,00:15:13
52,145,00:15:25
53,146,00:15:27
54,148,00:15:30
55,149,00:15:35
56,150,00:15:42
57,151,00:15:48
58,152,00:15:50
59,154,00:15:57
60,156,00:16:09
61,157,00:16:19
62,158,00:16:20
63,159,00:16:22
64,161,00:16:26
65,162,00:16:33
66,163,00:16:35
67,164,00:16:36
68,165,00:16:37
69,168,00:16:46
70,185,00:17:49
71,195,00:18:21
72,200,00:18:31
73,204,00:18:49
74,205,00:18:53
75,207,00:18:59
76,208,00:19:07
77,215,00:19:53
78,268,00:22:16
79,269,00:22:17
80,272,00:22:25
81,276,00:22:34
82,281,00:22:56
83,282,00:22:58
84,287,00:23:14
85,288,00:23:20
86,289,00:23:20
87,290,00:23:21
88,292,00:23:24
89,323,00:24:52
90,339,00:25:39
91,341,00:25:42
92,345,00:25:50
93,448,00:30:27
94,461,00:31:01
95,467,00:31:19
96,494,00:32:35
97,495,00:32:35
98,496,00:32:47
